concept_id,category,data_value,gest_value
43763411,CONTRA,0,
43763413,CONTRA,0,
43763414,CONTRA,0,
43763415,CONTRA,0,
43763416,CONTRA,0,
43763609,CONTRA,0,
43763610,CONTRA,0,
43763716,CONTRA,0,
43763717,CONTRA,0,
43763718,CONTRA,0,
43763719,CONTRA,0,
43764143,CONTRA,0,
43764144,CONTRA,0,
43764673,CONTRA,0,
43766136,CONTRA,0,
43799712,CONTRA,0,
43799713,CONTRA,0,
43799714,CONTRA,0,
43799715,CONTRA,0,
43802148,CONTRA,0,
43802149,CONTRA,0,
43802151,CONTRA,0,
43802152,CONTRA,0,
43802153,CONTRA,0,
43802154,CONTRA,0,
43802155,CONTRA,0,
43802595,CONTRA,0,
43805219,CONTRA,0,
43808715,CONTRA,0,
43816340,CONTRA,0,
43816342,CONTRA,0,
43816343,CONTRA,0,
43816344,CONTRA,0,
43816345,CONTRA,0,
43816346,CONTRA,0,
43817441,CONTRA,0,
43817442,CONTRA,0,
35604179,MTX,0,
35604180,MTX,0,
35604181,MTX,0,
35604182,MTX,0,
35746079,MTX,0,
35754453,MTX,0,
35758559,MTX,0,
35762105,MTX,0,
35762765,MTX,0,
35762766,MTX,0,
35762767,MTX,0,
35770500,MTX,0,
35771187,MTX,0,
35771188,MTX,0,
35775367,MTX,0,
35775993,MTX,0,
35776095,MTX,0,
35776659,MTX,0,
35776822,MTX,0,
35776823,MTX,0,
35776925,MTX,0,
35777091,MTX,0,
35777206,MTX,0,
35777207,MTX,0,
35777506,MTX,0,
35777507,MTX,0,
35777681,MTX,0,
35777970,MTX,0,
35777971,MTX,0,
35777972,MTX,0,
35778081,MTX,0,
35778212,MTX,0,
35778229,MTX,0,
35778230,MTX,0,
35778453,MTX,0,
35778454,MTX,0,
35778455,MTX,0,
35778601,MTX,0,
35778602,MTX,0,
35778725,MTX,0,
35778726,MTX,0,
35778727,MTX,0,
35778855,MTX,0,
35778932,MTX,0,
35778987,MTX,0,
35778988,MTX,0,
35778989,MTX,0,
35779108,MTX,0,
35779109,MTX,0,
35779110,MTX,0,
35779111,MTX,0,
35779189,MTX,0,
35779249,MTX,0,
35779250,MTX,0,
35779251,MTX,0,
35779252,MTX,0,
35779253,MTX,0,
35779254,MTX,0,
35779603,MTX,0,
35779604,MTX,0,
35781435,MTX,0,
35781436,MTX,0,
35781444,MTX,0,
35781445,MTX,0,
35781452,MTX,0,
35781455,MTX,0,
35781456,MTX,0,
35781459,MTX,0,
35781581,MTX,0,
35781730,MTX,0,
35782030,MTX,0,
35782177,MTX,0,
35782332,MTX,0,
35782474,MTX,0,
35782640,MTX,0,
35782641,MTX,0,
35782814,MTX,0,
35782871,MTX,0,
43766603,CONTRA,0,
43766605,CONTRA,0,
43772745,CONTRA,0,
43772746,CONTRA,0,
43780363,CONTRA,0,
43780364,CONTRA,0,
43780365,CONTRA,0,
43781455,CONTRA,0,
43781456,CONTRA,0,
43781458,CONTRA,0,
43781459,CONTRA,0,
43781460,CONTRA,0,
43781461,CONTRA,0,
43781464,CONTRA,0,
43781465,CONTRA,0,
43781467,CONTRA,0,
43781471,CONTRA,0,
43781472,CONTRA,0,
43781473,CONTRA,0,
43781475,CONTRA,0,
21167241,MTX,0,
21167262,MTX,0,
21167268,MTX,0,
21167272,MTX,0,
21167647,MTX,0,
21167648,MTX,0,
21167897,MTX,0,
21167910,MTX,0,
21167911,MTX,0,
21167912,MTX,0,
21172269,MTX,0,
21172270,MTX,0,
21172271,MTX,0,
21172272,MTX,0,
21172273,MTX,0,
21172275,MTX,0,
21172276,MTX,0,
21172277,MTX,0,
21172279,MTX,0,
21175624,MTX,0,
21175627,MTX,0,
21175629,MTX,0,
21176746,MTX,0,
21176936,MTX,0,
21177090,MTX,0,
21177627,MTX,0,
21177630,MTX,0,
35100617,MTX,0,
35100884,MTX,0,
35101471,MTX,0,
35101473,MTX,0,
35101482,MTX,0,
35101984,MTX,0,
35101986,MTX,0,
35102011,MTX,0,
35102012,MTX,0,
35102014,MTX,0,
35102016,MTX,0,
35102023,MTX,0,
35102032,MTX,0,
35131868,MTX,0,
35133419,MTX,0,
35134979,MTX,0,
35135207,MTX,0,
35136275,MTX,0,
35137768,MTX,0,
35138619,MTX,0,
35140047,MTX,0,
35146832,MTX,0,
35148011,MTX,0,
35148528,MTX,0,
35149357,MTX,0,
35152751,MTX,0,
35155773,MTX,0,
35155961,MTX,0,
35157577,MTX,0,
35158283,MTX,0,
35159884,MTX,0,
35410075,MTX,0,
35410858,MTX,0,
35411350,MTX,0,
35411982,MTX,0,
35413075,MTX,0,
35413083,MTX,0,
35413099,MTX,0,
35414503,MTX,0,
35414504,MTX,0,
35414508,MTX,0,
35414522,MTX,0,
35414548,MTX,0,
35414552,MTX,0,
35414556,MTX,0,
35414583,MTX,0,
35414627,MTX,0,
35414686,MTX,0,
35414690,MTX,0,
35414693,MTX,0,
35414694,MTX,0,
43145188,CONTRA,0,
43145189,CONTRA,0,
40224817,CONTRA,0,
40224818,CONTRA,0,
40224819,CONTRA,0,
40224820,CONTRA,0,
40224821,CONTRA,0,
40224822,CONTRA,0,
40224823,CONTRA,0,
40224824,CONTRA,0,
40224825,CONTRA,0,
40224826,CONTRA,0,
40224827,CONTRA,0,
40224828,CONTRA,0,
40224829,CONTRA,0,
41042736,CONTRA,0,
41042737,CONTRA,0,
41042738,CONTRA,0,
41042739,CONTRA,0,
41042740,CONTRA,0,
41042741,CONTRA,0,
41042742,CONTRA,0,
41042743,CONTRA,0,
41042744,CONTRA,0,
41042745,CONTRA,0,
41042746,CONTRA,0,
41042747,CONTRA,0,
41042748,CONTRA,0,
41042749,CONTRA,0,
41042750,CONTRA,0,
41042751,CONTRA,0,
41042752,CONTRA,0,
41042753,CONTRA,0,
41042754,CONTRA,0,
41042755,CONTRA,0,
41042756,CONTRA,0,
